epoch;train_loss;val_loss;pixel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
1;1.479692;0.966735;97.540202;0.28065;0.0001;0.966735;0.28065;inf;0.28065;0;0;1;1;0.627694;0.549572;0.490278;0.0;0.0;0.701484;0.329111;0.716553;0.435115;0.177187;0.0;0.0;0.0;0.182753;0.0
2;0.687653;0.86207;98.46096;0.418786;0.0001;0.86207;0.418786;0.104666;0.138136;0;0;1;1;0.696963;0.598234;0.615966;0.256063;2e-06;0.744293;0.432457;0.813487;0.631701;0.385567;0.0;0.0;0.290778;0.402501;0.413775
3;0.547015;0.82407;98.651199;0.516507;0.0001;0.82407;0.516507;0.038;0.097722;0;0;1;1;0.721995;0.716884;0.72035;0.317859;0.549963;0.791666;0.518251;0.833643;0.697794;0.439238;0.161348;0.0;0.367017;0.523044;0.38856
4;0.489284;0.81806;98.676758;0.519197;0.0001;0.81806;0.519197;0.00601;0.002689;0;0;1;1;0.748323;0.640077;0.671431;0.259759;0.575533;0.771191;0.511949;0.834151;0.698009;0.464022;0.22965;0.109915;0.366362;0.477184;0.430389
5;0.446935;0.801588;98.784289;0.554558;0.0001;0.801588;0.554558;0.016472;0.035362;0;0;1;1;0.765144;0.775039;0.686196;0.288615;0.600162;0.786942;0.465088;0.841182;0.718741;0.448402;0.200137;0.311594;0.376106;0.56721;0.487817
6;0.422829;0.797471;98.830306;0.561687;0.0001;0.797471;0.561687;0.004117;0.007129;0;0;1;1;0.702343;0.748511;0.665021;0.35526;0.622102;0.785398;0.533618;0.859015;0.734291;0.475327;0.297096;0.304578;0.41325;0.436874;0.492626
7;0.408767;0.800341;98.847209;0.59038;0.0001;0.797471;0.59038;-0.00287;0.028693;1;0;1;1;0.753963;0.716289;0.744718;0.38591;0.541167;0.82293;0.494443;0.838116;0.745488;0.498025;0.317078;0.402738;0.439346;0.625634;0.529859
8;0.395501;0.791825;98.898012;0.585011;0.0001;0.791825;0.59038;0.005647;-0.005369;0;1;1;1;0.77442;0.743509;0.732139;0.35823;0.638992;0.793704;0.538905;0.868542;0.730663;0.463534;0.327154;0.438624;0.427984;0.430637;0.508128
9;0.38674;0.791641;98.916937;0.633888;0.0001;0.791641;0.633888;0.000183;0.043508;1;0;1;1;0.800874;0.81054;0.814574;0.439765;0.662212;0.826436;0.55557;0.875178;0.748734;0.539498;0.434351;0.373416;0.484366;0.56439;0.578424
10;0.380377;0.785194;99.004342;0.640895;0.0001;0.785194;0.640895;0.006448;0.007006;0;0;1;1;0.787985;0.777337;0.806867;0.435719;0.639546;0.810534;0.611224;0.877983;0.759476;0.567192;0.42269;0.470271;0.508237;0.606744;0.531614
11;0.371942;0.789605;98.939993;0.639354;0.0001;0.785194;0.640895;-0.004411;-0.00154;1;1;1;1;0.807013;0.759893;0.790874;0.419072;0.668733;0.842941;0.611364;0.874505;0.766835;0.527327;0.452287;0.466353;0.45601;0.629674;0.517432
12;0.365738;0.785078;99.007628;0.626318;0.0001;0.785078;0.640895;0.000116;-0.014577;2;2;1;0;0.747818;0.711586;0.768216;0.367563;0.611223;0.825641;0.59608;0.873983;0.763315;0.553383;0.418543;0.499747;0.490318;0.603557;0.563795
13;0.36022;0.784731;98.993684;0.634301;0.0001;0.784731;0.640895;0.000347;-0.006594;3;3;1;0;0.789508;0.802316;0.788872;0.44631;0.671199;0.844147;0.529832;0.881107;0.760296;0.536134;0.44921;0.451319;0.476993;0.530518;0.556748
14;0.35769;0.780856;99.054767;0.653238;0.0001;0.780856;0.653238;0.003876;0.012343;0;0;1;1;0.735239;0.794916;0.821206;0.440955;0.683318;0.853852;0.635021;0.881347;0.763283;0.577826;0.421403;0.499131;0.511659;0.55581;0.623599
15;0.353888;0.784946;98.992522;0.608376;0.0001;0.780856;0.653238;-0.00409;-0.044862;1;1;0;0;0.794947;0.763664;0.76949;0.342287;0.669686;0.852555;0.560512;0.869153;0.750003;0.517676;0.457313;0.481171;0.390695;0.419013;0.48747
16;0.353252;0.784857;99.004478;0.651982;0.0001;0.780856;0.653238;-0.004001;-0.001256;2;2;0;1;0.797924;0.843264;0.837007;0.423512;0.681862;0.852216;0.63082;0.890109;0.772172;0.554092;0.441868;0.414771;0.474963;0.560503;0.604641
17;0.345944;0.78231;99.045136;0.657516;0.0001;0.780856;0.657516;-0.001454;0.004278;3;0;1;1;0.748717;0.830928;0.833833;0.437077;0.685677;0.794231;0.592882;0.888008;0.777711;0.554029;0.443691;0.494368;0.492927;0.661798;0.626863
18;0.344009;0.778993;99.077786;0.652173;0.0001;0.778993;0.657516;0.001862;-0.005343;0;1;1;0;0.829394;0.820396;0.806629;0.455332;0.693665;0.833175;0.623055;0.892365;0.771359;0.567573;0.458173;0.48542;0.480808;0.555008;0.510238
19;0.343075;0.782532;99.054859;0.650976;0.0001;0.778993;0.657516;-0.003538;-0.00654;1;2;0;0;0.799322;0.782408;0.797824;0.455843;0.681637;0.831435;0.620006;0.888226;0.782618;0.590885;0.472778;0.446773;0.488383;0.535945;0.590563
20;0.339888;0.779791;99.074975;0.651333;0.0001;0.778993;0.657516;-0.000797;-0.006183;2;3;1;0;0.800915;0.82416;0.814706;0.433592;0.693217;0.833306;0.600333;0.878596;0.774234;0.562325;0.413327;0.419889;0.472485;0.673588;0.575321
21;0.334738;0.776974;99.087329;0.654244;0.0001;0.776974;0.657516;0.002019;-0.003272;0;4;1;1;0.786643;0.774874;0.799245;0.452354;0.692432;0.844636;0.566919;0.88235;0.786536;0.573346;0.450222;0.457995;0.516713;0.607878;0.621514
22;0.336643;0.775279;99.101231;0.662107;0.0001;0.775279;0.662107;0.001695;0.004591;0;0;1;1;0.782605;0.773978;0.792454;0.458901;0.703848;0.824281;0.619702;0.885221;0.775567;0.551851;0.47198;0.495075;0.491845;0.667383;0.636914
23;0.331698;0.77877;99.089828;0.666427;0.0001;0.775279;0.666427;-0.003491;0.00432;1;0;0;1;0.769733;0.796456;0.844369;0.455409;0.699662;0.82173;0.635847;0.89018;0.770716;0.572085;0.412379;0.507197;0.522717;0.667431;0.630502
24;0.330731;0.778597;99.101165;0.672111;0.0001;0.775279;0.672111;-0.003318;0.005684;2;0;0;1;0.813579;0.838995;0.834552;0.454625;0.689514;0.820426;0.620944;0.895359;0.782551;0.576978;0.469702;0.507637;0.517758;0.654777;0.604274
25;0.327183;0.778739;99.090341;0.669506;0.0001;0.775279;0.672111;-0.00346;-0.002606;3;1;0;1;0.833872;0.84727;0.765082;0.465326;0.702345;0.842163;0.635019;0.895793;0.771773;0.603256;0.47053;0.539929;0.524399;0.572344;0.573486
