epoch;train_loss;val_loss;voxel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
1;2.172895;1.667781;84.467313;0.029627;0.0001;1.667781;0.029627;inf;0.029627;0;0;1;1;0.0;0.0;0.0;0.0;0.0;0.4444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;1.523688;1.545012;85.128582;0.03275;0.0001;1.545012;0.03275;0.122769;0.003124;0;0;1;1;0.0;0.0;0.0;0.0;0.0;0.491257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;1.450963;1.491181;87.090756;0.037162;0.0001;1.491181;0.037162;0.053831;0.004412;0;0;1;1;0.00034;0.0;0.0;0.0;0.0;0.557091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1.409457;1.482959;86.488815;0.035693;0.0001;1.482959;0.037162;0.008223;-0.001469;0;1;1;1;0.004741;0.0;0.0;0.0;0.0;0.506251;0.024401;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;1.376961;1.431236;87.481872;0.040314;0.0001;1.431236;0.040314;0.051723;0.003152;0;0;1;1;0.00733;0.0;0.0;0.0;0.0;0.541521;0.055861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;1.346371;1.40988;87.471491;0.051969;0.0001;1.40988;0.051969;0.021356;0.011655;0;0;1;1;0.050241;0.0;0.0;0.0;0.0;0.552608;0.091359;0.085329;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;1.315279;1.356798;88.455744;0.074856;0.0001;1.356798;0.074856;0.053082;0.022887;0;0;1;1;0.054602;0.077015;0.0;0.0;0.0;0.572322;0.134902;0.222281;0.061721;0.0;0.0;0.0;0.0;0.0;0.0
8;1.285524;1.339903;88.736841;0.092378;0.0001;1.339903;0.092378;0.016895;0.017522;0;0;1;1;0.106531;0.185579;0.0;0.0;0.0;0.558512;0.144294;0.233455;0.157301;0.0;0.0;0.0;0.0;0.0;0.0
9;1.262625;1.312151;89.254365;0.101854;0.0001;1.312151;0.101854;0.027752;0.009476;0;0;1;1;0.102448;0.199854;0.0;0.0;0.0;0.586282;0.178505;0.256231;0.204494;0.0;0.0;0.0;0.0;0.0;0.0
10;1.244185;1.304997;89.326704;0.101396;0.0001;1.304997;0.101854;0.007153;-0.000459;0;1;1;1;0.106377;0.217316;0.008457;0.007523;0.0;0.584035;0.15559;0.245952;0.193351;0.0;0.0;0.0;0.002334;0.0;0.0
11;1.22383;1.287865;89.646695;0.111467;0.0001;1.287865;0.111467;0.017132;0.009613;0;0;1;1;0.148758;0.209039;0.082879;0.00321;0.0;0.549674;0.219266;0.236738;0.220948;0.0;0.0;0.0;0.001495;0.0;0.0
12;1.204575;1.300359;89.518567;0.125902;0.0001;1.287865;0.125902;-0.012493;0.014434;1;0;1;1;0.09571;0.233207;0.118186;0.123678;0.0;0.598602;0.173169;0.295197;0.232201;0.0;0.0;0.0;0.018572;0.0;0.0
13;1.190011;1.257703;90.170782;0.13617;0.0001;1.257703;0.13617;0.030163;0.010268;0;0;1;1;0.147694;0.23365;0.146039;0.13473;0.0;0.59573;0.180765;0.316182;0.256145;0.0;0.0;0.0;0.031614;0.0;0.0
14;1.174094;1.245311;90.304941;0.143757;0.0001;1.245311;0.143757;0.012392;0.007587;0;0;1;1;0.158885;0.247327;0.157738;0.163147;0.0;0.584475;0.213956;0.307753;0.260034;0.010055;0.0;0.0;0.052984;0.0;0.0
15;1.156408;1.232104;90.59957;0.155785;0.0001;1.232104;0.155785;0.013206;0.012029;0;0;1;1;0.160797;0.264093;0.144692;0.203794;0.0;0.582588;0.204297;0.333264;0.27715;0.087553;0.0;0.0;0.078552;2e-06;0.0
16;1.142691;1.233611;90.577831;0.162451;0.0001;1.232104;0.162451;-0.001507;0.006666;1;0;1;1;0.155282;0.277808;0.163725;0.199191;0.0;0.589273;0.228635;0.297903;0.269781;0.169858;0.0;0.0;0.085281;2.9e-05;0.0
17;1.128254;1.232004;90.699252;0.163701;0.0001;1.232004;0.163701;0.0001;0.00125;2;0;1;1;0.135031;0.238074;0.172013;0.197925;0.0;0.586285;0.245873;0.340558;0.27033;0.191179;0.0;0.0;0.078053;0.000198;0.0
18;1.117374;1.202666;90.971847;0.176167;0.0001;1.202666;0.176167;0.029337;0.012465;0;0;1;1;0.172082;0.265152;0.173449;0.220044;0.0;0.600855;0.253012;0.334696;0.304871;0.207112;0.0;0.0;0.110906;0.00032;0.0
19;1.102679;1.193374;91.360528;0.193377;0.0001;1.193374;0.193377;0.009293;0.01721;0;0;1;1;0.17768;0.307495;0.200351;0.21956;0.0;0.627124;0.280919;0.366284;0.321135;0.228421;0.0;0.0;0.146217;0.025468;0.0
20;1.090103;1.17736;91.610786;0.19626;0.0001;1.17736;0.19626;0.016013;0.002883;0;0;1;1;0.186715;0.300232;0.20577;0.224491;0.0;0.621484;0.271458;0.368415;0.32061;0.264865;0.0;0.0;0.156373;0.023487;0.0
21;1.078095;1.167677;91.737947;0.203263;0.0001;1.167677;0.203263;0.009683;0.007003;0;0;1;1;0.197578;0.316376;0.210326;0.245153;0.0;0.6304;0.303154;0.369014;0.306666;0.273917;0.0;0.0;0.166063;0.030296;0.0
22;1.070219;1.164416;91.639107;0.202164;0.0001;1.164416;0.203263;0.003261;-0.001098;0;1;1;1;0.183534;0.292825;0.17125;0.239421;0.0;0.618026;0.307495;0.366178;0.320944;0.297916;0.0;0.0;0.174727;0.06015;0.0
23;1.059463;1.151317;91.92821;0.203755;0.0001;1.151317;0.203755;0.013099;0.000493;0;2;1;1;0.20308;0.299901;0.203863;0.261435;4e-06;0.626036;0.309272;0.320056;0.301677;0.285926;0.0;0.0;0.162138;0.082946;0.0
24;1.047556;1.138729;92.253247;0.223517;0.0001;1.138729;0.223517;0.012588;0.019761;0;0;1;1;0.218786;0.329918;0.22325;0.26093;0.06146;0.640624;0.314334;0.391122;0.343074;0.290229;0.0;0.0;0.17973;0.099292;0.0
25;1.042891;1.126759;92.437525;0.234408;0.0001;1.126759;0.234408;0.01197;0.010891;0;0;1;1;0.224846;0.326471;0.231506;0.264218;0.123785;0.630181;0.321137;0.409518;0.346157;0.318437;0.0;0.0;0.19172;0.128138;0.0
26;1.028563;1.1221;92.67516;0.234405;0.0001;1.1221;0.234408;0.004659;-3e-06;0;1;1;1;0.224097;0.335951;0.266779;0.277389;0.155522;0.619467;0.331271;0.380939;0.313727;0.29932;0.0;0.0;0.190606;0.121005;0.0
27;1.021803;1.110033;92.483106;0.240183;0.0001;1.110033;0.240183;0.012067;0.005775;0;0;1;1;0.246654;0.330604;0.225837;0.268551;0.178648;0.652132;0.33501;0.396487;0.32888;0.340757;0.0;0.0;0.197507;0.101595;7.6e-05
