epoch;train_loss;val_loss;pixel_accuracy;mean_dice;learning_rate;best_val_loss;best_mean_dice;val_loss_improvement;dice_improvement;epochs_without_val_loss_improvement;epochs_without_dice_improvement;saved_top_val_loss;saved_top_mean_dice;dice_class_1;dice_class_2;dice_class_3;dice_class_4;dice_class_5;dice_class_6;dice_class_7;dice_class_8;dice_class_9;dice_class_10;dice_class_11;dice_class_12;dice_class_13;dice_class_14;dice_class_15
1;1.324013;0.957672;97.803571;0.257547;0.0001;0.957672;0.257547;inf;0.257547;0;0;1;1;0.546009;0.546335;0.445703;0.0;0.0;0.702197;0.267036;0.750963;0.363324;0.0;0.0;0.0;0.0;0.24164;0.0
2;0.690858;0.852909;98.440338;0.403474;0.0001;0.852909;0.403474;0.104763;0.145926;0;0;1;1;0.51089;0.666183;0.629974;0.0;0.365598;0.674894;0.472456;0.830619;0.610245;0.344673;0.0;0.0;0.249978;0.367303;0.32929
3;0.552127;0.830918;98.679768;0.505249;0.0001;0.830918;0.505249;0.021991;0.101776;0;0;1;1;0.716645;0.796072;0.811266;0.350285;0.553632;0.738401;0.537669;0.840105;0.671258;0.409662;0.0;0.0;0.359641;0.446083;0.348023
4;0.500179;0.812249;98.767023;0.532537;0.0001;0.812249;0.532537;0.018669;0.027288;0;0;1;1;0.738051;0.793937;0.715566;0.378218;0.601393;0.761261;0.507139;0.857942;0.712823;0.47277;0.213718;0.0;0.375173;0.451475;0.408594
5;0.462681;0.805148;98.783621;0.551934;0.0001;0.805148;0.551934;0.007101;0.019397;0;0;1;1;0.699892;0.755211;0.740515;0.338621;0.635881;0.669309;0.534829;0.861518;0.685362;0.44478;0.316246;0.256671;0.386891;0.44458;0.508705
6;0.432203;0.797531;98.842257;0.580792;0.0001;0.797531;0.580792;0.007617;0.028858;0;0;1;1;0.73898;0.746935;0.738156;0.302219;0.618455;0.792343;0.55843;0.864345;0.732941;0.48722;0.351257;0.38423;0.45288;0.442533;0.500958
7;0.415552;0.803278;98.815229;0.605569;0.0001;0.797531;0.605569;-0.005746;0.024777;1;0;1;1;0.755865;0.804645;0.808908;0.407272;0.662018;0.746891;0.510278;0.874458;0.724708;0.528711;0.375597;0.395939;0.476676;0.515122;0.496445
8;0.402761;0.793946;98.908996;0.588179;0.0001;0.793946;0.605569;0.003586;-0.01739;0;1;1;1;0.722074;0.742518;0.77221;0.401886;0.668162;0.622347;0.509266;0.86692;0.721536;0.525126;0.351185;0.442766;0.425871;0.542161;0.508658
9;0.394064;0.806252;98.811757;0.599604;0.0001;0.793946;0.605569;-0.012307;-0.005965;1;2;0;1;0.753709;0.700842;0.794081;0.439304;0.647458;0.751564;0.560057;0.860203;0.732074;0.514375;0.406676;0.428461;0.430803;0.520035;0.454422
10;0.389453;0.798903;98.876253;0.613888;0.0001;0.793946;0.613888;-0.004958;0.008319;2;0;0;1;0.706323;0.801121;0.794887;0.298599;0.673864;0.826785;0.589472;0.868296;0.745067;0.524296;0.419022;0.473703;0.472414;0.479958;0.534514
11;0.381695;0.792507;98.942914;0.627031;0.0001;0.792507;0.627031;0.001438;0.013143;0;0;1;1;0.782479;0.773449;0.819177;0.448776;0.692275;0.816821;0.604869;0.875187;0.752757;0.526338;0.356543;0.372181;0.459692;0.581931;0.542989
12;0.375577;0.791674;98.940082;0.625821;0.0001;0.791674;0.627031;0.000833;-0.00121;1;1;1;1;0.776066;0.828893;0.802555;0.410428;0.666974;0.809233;0.576278;0.88371;0.752664;0.543892;0.366631;0.473087;0.474598;0.467095;0.555207
13;0.369338;0.784022;99.034879;0.647456;0.0001;0.784022;0.647456;0.007651;0.020425;0;0;1;1;0.778171;0.791874;0.827523;0.448646;0.686553;0.796087;0.587098;0.887207;0.758389;0.573326;0.479088;0.471792;0.503152;0.607696;0.515234
14;0.365669;0.783096;99.020123;0.622215;0.0001;0.783096;0.647456;0.000926;-0.025241;1;1;1;0;0.782878;0.771578;0.802623;0.430663;0.69512;0.803537;0.55056;0.873288;0.747939;0.53156;0.451109;0.446124;0.439581;0.506222;0.500436
15;0.363213;0.784944;98.989135;0.609728;0.0001;0.783096;0.647456;-0.001848;-0.037727;2;2;0;0;0.747605;0.760312;0.799548;0.391261;0.700174;0.781352;0.493472;0.886147;0.759282;0.513483;0.383111;0.415934;0.452808;0.503651;0.557783
16;0.359282;0.787469;99.015356;0.655105;0.0001;0.783096;0.655105;-0.004373;0.007649;3;0;0;1;0.772738;0.858334;0.834809;0.470989;0.659884;0.84263;0.61629;0.888668;0.767442;0.572231;0.446273;0.402663;0.533598;0.606811;0.553219
17;0.357501;0.789566;99.013358;0.643883;0.0001;0.783096;0.655105;-0.00647;-0.011222;4;1;0;0;0.804302;0.813041;0.816618;0.449497;0.692191;0.835553;0.61497;0.888074;0.77066;0.531235;0.425081;0.436984;0.506626;0.539016;0.534401
18;0.354219;0.786468;99.041499;0.664773;0.0001;0.783096;0.664773;-0.003372;0.009667;5;0;0;1;0.807931;0.838783;0.828284;0.483372;0.701077;0.831501;0.631962;0.884718;0.776976;0.565633;0.484068;0.491385;0.515462;0.599217;0.531217
